State,District,Latitude,Longitude,District code,Population,Households with Internet,Households with  Electric Lighting,Age 0 to 29,Age 30 to 49,Age 50+,Sex Ratio,Literacy Rate,Percent of Hindu Population,Percent of Christian Population,Percent of Muslims Population,Percent of Buddhists Population,Percent of Jains Population,Percent of Sikhs Population,Percent of Other Religions Population,Percent of people not state their Religion,Percent of Below Primary Education,Percent of Middle Education,Percent of Secondary Education,Percent of Higher Education,Percent of Graduate Education
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,566108,1536378,704551,422522,100.0,54.0,87.54803940845727,0.5625923168319144,10.067345459480185,0.9306010895073359,0.022508070255822275,0.05023275971194048,0.011746513164302712,0.8069343825912296,8.480471786662893,10.278271978473967,8.24287849399487,5.221835819496221,3.6562299018801347
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,897970,2189396,1104565,739612,98.0,57.0,88.19508628454543,0.5014030365965655,10.865962224354519,0.008355492131135652,0.03472062272674257,0.02283671163113908,0.007571399027920575,0.3640642289865499,11.32703347195446,14.26253103293485,8.129893843594989,3.9737593441845283,3.550839126637897
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,944555,2148179,1159053,807430,100.0,64.0,89.54314068974504,0.5780697181451937,9.531957344209383,0.006061239118518547,0.03167177120427478,0.02077112377769004,0.008576773140038102,0.27975134065984614,12.528820832646554,16.128094825570475,13.136741554513778,6.353496256885376,5.903335454367734
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1297273,2724328,1478954,948122,101.0,64.0,96.68303876998915,1.5099055234701306,1.5089742614704316,0.008012733455742549,0.08049595909897297,0.014318153245370464,0.007818720539138613,0.1874358787310624,12.987612663300672,15.4724718952889,10.118976480978198,5.273445684919919,5.102985936391701
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1186028,2583462,1371811,928462,100.0,61.0,86.28801879286299,1.836465511262399,11.452361209399786,0.006608272452321723,0.06714659501089751,0.015630712549764076,0.006792403882881772,0.3269765025789653,15.063383153160729,13.80897755294648,9.27707340685906,5.044792016388516,4.540353732845344
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,869721,2249130,1068243,542669,95.0,73.0,51.88646732717558,2.2194986309769704,43.45079010773401,0.03215562103332646,0.4960283496939003,0.29026280626770873,0.048918133259689855,1.5758790238588116,5.857039862065572,17.376588222674126,20.579115634199887,13.121547486726296,14.152784339502494
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,926768,1940234,1031735,728494,101.0,58.0,92.44942561030477,0.6614730041742259,6.48054998200605,0.00879174656254626,0.008262123275645883,0.05523970882370932,0.003045333899677168,0.33321249095337224,9.013446870442756,12.786218354677592,12.271451000974771,7.7720363671126185,6.795940649355223
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,668519,1530602,774583,477955,101.0,58.0,92.77717999406585,1.1962307453071994,5.679870735726772,0.007757286308210926,0.016408269195708827,0.023414850377318695,0.01926809824942714,0.2798700207695085,10.568462520152858,11.783568137214598,8.536982951844054,5.532839774502479,5.748399389426497
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1163932,2340943,1284630,833959,99.0,67.0,89.07069954872252,3.223050083255892,6.796899454066256,0.019103917786300873,0.13990354624498438,0.030836335430263175,0.020055793180056306,0.6994513213137297,13.682677505944794,13.95942974251992,11.772728460055989,6.923299651702153,7.27086699024527
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,816721,2368684,1053618,609027,99.0,52.0,82.11201138384635,0.8181892865433829,16.547258479971326,0.0062909171737844894,0.055138038758464056,0.018181984145408506,0.010706894327146936,0.4322230152341343,12.861274421402143,11.519532804419333,6.706068366727413,3.761055670176341,2.8495141068266814
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,757821,2360874,1027525,637430,98.0,48.0,90.63485374391689,0.52664328990572,8.24499608687628,0.007155144252642715,0.009573089551811633,0.016234775580134163,0.0065876672946745,0.5539562026218422,10.34730083285879,10.895187499321494,7.613443578480089,4.1717698471365114,2.423546050014952
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,604719,1735769,779738,509368,99.0,54.0,86.94568402340957,1.1308190979557498,11.28969619765746,0.01826400922035758,0.015066159230511578,0.04315449110008677,0.00715395307006786,0.5501620683561864,10.690280645952512,15.889819891813767,12.320920400568623,6.657066523191994,4.203128750056044
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,789225,1932349,897137,651748,98.0,57.0,93.1329574075279,1.0039242618326196,5.40717476938405,0.006907801487556355,0.0071657691779630234,0.026857302879005413,0.003783526125964477,0.41122916158494205,10.592067378867688,13.5069876281562,10.531502297775544,6.8417330957355365,5.6218038878023995
